timestamp_s,m1_a,m2_a,m3_a,m4_a,m5_a,m6_a,m7_a,m8_a,m9_a,m10_a,m11_a,m12_a
1777925229.1791,3.14,2.43,0.93,3.09,2.56,0.38,3.17,2.28,0.33,2.73,2.78,-0.03
1777925229.3795,3.19,2.45,0.91,2.99,2.56,0.32,3.09,2.25,-0.33,2.75,2.79,0.0
1777925229.5805,3.21,2.45,0.93,3.02,2.58,0.35,3.14,2.28,0.31,2.66,2.9,0.01
1777925229.7808,3.14,2.44,0.94,3.12,2.55,0.44,3.09,2.23,-0.32,2.6,2.83,-0.02
1777925229.9810,3.12,2.47,0.91,3.01,2.57,0.4,3.13,2.26,0.32,2.67,2.74,-0.15
1777925230.1813,3.21,2.46,0.93,3.05,2.56,0.47,3.07,2.29,-0.33,2.64,2.88,-0.08
1777925230.3816,2.65,3.91,-0.1,4.59,4.68,-0.35,2.26,2.66,-1.03,4.02,6.2,2.37
1777925230.5818,2.78,-3.42,0.65,3.87,2.43,0.68,2.61,1.83,-0.77,1.9,1.12,0.14
1777925230.7821,2.71,-3.36,0.56,3.96,3.17,1.07,3.66,-2.74,0.36,2.18,4.02,0.55
1777925230.9824,0.11,1.38,-0.13,3.7,3.63,1.02,2.76,1.73,-0.45,1.58,0.98,0.28
1777925231.1830,1.66,2.38,1.16,2.74,2.18,0.64,1.4,0.59,-0.13,2.45,2.16,-0.05
1777925231.3835,1.62,2.47,1.18,3.08,2.96,0.85,1.33,0.63,-0.28,2.46,2.31,0.01
1777925231.5837,1.65,2.47,1.08,3.04,2.98,0.72,1.39,0.58,-0.19,2.49,2.37,-0.03
1777925231.7840,1.66,2.38,1.13,3.04,2.98,0.8,1.4,0.58,-0.24,2.47,2.32,-0.03
1777925231.9844,1.56,2.43,1.14,3.08,3.0,0.8,1.33,0.62,-0.21,2.5,2.37,-0.01
1777925232.1846,1.65,2.45,1.05,3.1,3.05,0.81,1.38,0.62,-0.19,2.45,2.43,-0.06
1777925232.3852,1.51,2.43,1.01,3.07,2.94,0.61,1.43,0.62,-0.19,2.52,2.35,-0.04
1777925232.5864,1.56,2.45,1.19,3.16,3.09,0.81,1.37,0.65,-0.2,2.47,2.4,0.0
1777925232.7867,1.64,2.42,1.21,3.13,3.09,0.82,1.47,0.63,0.07,2.47,2.36,-0.03
