timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777887567.4626,43,43,47,41,41,41,42,44,44,42,42,45
1777887567.6629,43,43,47,41,41,41,42,44,44,42,42,45
1777887567.8631,44,43,47,41,41,41,42,44,44,42,42,45
1777887568.0646,43,43,47,40,41,41,42,44,44,42,42,45
1777887568.2648,43,43,47,41,41,41,42,44,44,42,42,45
1777887568.4652,43,43,47,41,41,41,42,44,44,42,42,45
1777887568.6655,43,43,47,41,41,41,42,44,44,42,42,45
1777887568.8658,43,43,47,41,41,41,42,44,44,42,42,45
1777887569.0661,43,43,47,41,41,41,42,44,44,42,42,45
1777887569.2669,43,43,47,41,41,41,42,44,44,42,42,45
1777887569.4671,43,43,47,41,41,41,42,44,44,42,42,45
1777887569.6708,43,43,47,41,41,41,42,44,44,42,42,45
1777887569.8713,43,43,47,41,41,41,42,44,44,42,42,45
1777887570.0716,43,43,47,41,41,41,42,44,44,42,42,45
1777887570.2719,43,43,47,41,41,41,42,44,44,42,42,45
1777887570.4726,43,43,47,41,41,41,42,44,44,42,42,45
1777887570.6729,43,43,47,41,41,41,42,44,44,42,42,45
1777887570.8733,43,43,47,41,41,41,42,44,44,42,42,45
1777887571.0736,43,43,47,41,41,41,42,44,44,42,42,45
1777887571.2738,43,43,47,41,41,41,42,44,44,42,42,45
1777887571.4745,43,43,47,41,41,41,42,44,44,42,42,45
1777887571.6748,43,43,47,41,41,41,42,44,44,42,42,45
1777887571.8751,43,43,47,41,41,41,42,44,44,42,42,45
1777887572.0755,43,43,47,41,41,41,42,44,44,42,42,45
1777887572.2758,43,43,47,41,41,41,42,44,44,42,42,45
1777887572.4760,43,43,47,41,41,41,42,44,44,42,42,45
1777887572.6763,44,43,48,41,41,41,42,44,44,42,42,45
1777887572.8766,43,43,47,41,41,41,42,44,44,42,42,45
1777887573.0773,43,43,47,41,41,41,42,44,44,42,42,45
1777887573.2775,43,43,48,41,41,41,42,44,44,42,42,45
1777887573.4780,43,43,48,41,41,41,42,44,44,42,42,45
1777887573.6782,43,43,47,41,41,41,42,44,44,42,42,45
1777887573.8785,43,43,47,41,41,41,42,44,44,42,42,45
1777887574.0788,43,43,48,41,41,41,42,44,44,42,42,45
1777887574.2791,43,43,48,41,41,41,42,44,44,42,42,45
1777887574.4795,44,43,47,41,41,41,42,44,44,42,42,45
1777887574.6804,43,43,47,41,41,41,42,44,44,42,42,45
1777887574.8826,43,43,48,41,41,41,42,44,44,42,42,45
1777887575.0829,43,43,47,41,41,41,42,44,44,42,42,45
1777887575.2839,44,43,48,41,41,41,42,44,44,42,42,45
1777887575.4842,44,43,47,41,41,41,42,44,44,43,43,45
1777887575.6844,43,43,48,41,42,41,42,44,44,43,43,45
1777887575.8847,43,43,48,41,41,41,42,44,44,43,43,45
1777887576.0850,43,43,48,41,41,41,42,44,44,42,43,45
1777887576.2855,44,43,47,41,42,41,42,44,44,43,43,45
1777887576.4864,43,43,48,41,41,41,42,44,44,43,43,45
1777887576.6870,43,43,48,41,42,41,42,44,44,42,43,45
1777887576.8874,43,43,48,41,42,41,42,44,44,43,43,45
1777887577.0882,43,43,48,41,42,41,42,44,44,43,43,45
1777887577.2886,43,43,48,41,42,41,42,44,44,43,43,45
1777887577.4890,43,43,48,41,42,41,42,44,44,43,43,45
1777887577.6896,43,43,48,41,42,41,42,44,44,43,43,45
1777887577.8899,43,43,48,41,42,41,42,44,44,43,43,45
1777887578.0903,43,43,48,41,42,41,42,44,44,43,43,45
1777887578.2905,44,43,48,41,42,41,42,44,44,42,43,45
1777887578.4910,44,43,48,41,41,41,42,44,44,43,43,45
1777887578.6913,43,43,48,41,42,41,42,44,44,43,43,45
1777887578.8918,43,43,48,41,42,41,42,44,44,43,43,45
1777887579.0920,43,43,48,41,42,41,42,44,44,43,43,45
1777887579.2926,43,43,48,41,42,41,42,44,44,43,43,45
1777887579.4929,43,43,48,41,42,41,42,44,44,42,43,45
1777887579.6931,43,43,48,41,42,41,42,44,44,43,43,45
1777887579.8934,43,43,48,41,42,41,42,44,44,43,43,45
1777887580.0937,43,43,48,41,42,41,42,44,44,43,43,45
1777887580.2940,43,43,48,41,42,41,42,44,44,43,43,45
1777887580.4945,43,43,48,41,42,42,42,44,44,43,43,45
1777887580.6948,44,43,48,41,42,41,42,44,44,43,43,45
1777887580.8950,44,43,48,41,42,41,42,44,44,43,43,45
1777887581.0953,44,43,48,41,42,41,42,44,44,43,43,45
1777887581.2956,44,43,48,41,42,41,43,44,44,43,43,45
1777887581.4959,44,43,48,41,42,41,42,44,44,43,43,45
1777887581.6961,44,43,48,41,42,41,43,44,44,43,43,45
1777887581.8964,44,43,48,41,42,41,42,44,44,43,43,45
1777887582.0967,44,43,48,41,42,41,43,44,44,43,43,45
1777887582.2969,44,43,48,41,42,41,43,44,44,43,43,45
1777887582.4972,44,43,48,41,42,41,42,44,44,43,43,45
1777887582.6974,44,43,48,41,42,41,43,44,44,43,43,45
1777887582.8977,44,43,48,41,42,41,43,44,44,43,43,45
1777887583.0979,44,43,48,41,42,41,43,44,44,43,43,45
1777887583.2982,44,43,48,41,42,41,43,44,44,43,43,45
1777887583.5054,44,43,48,41,42,41,43,44,44,43,43,45
1777887583.7058,44,43,48,41,42,41,43,44,44,43,43,45
1777887583.9061,44,43,48,41,42,41,43,44,44,43,43,45
1777887584.1064,44,43,48,41,42,41,42,44,44,43,43,45
1777887584.3071,44,43,48,41,42,41,43,45,44,43,43,45
1777887584.5074,44,43,48,41,42,42,43,45,44,43,43,45
1777887584.7088,44,43,48,41,42,41,43,45,44,43,43,45
1777887584.9093,44,43,48,41,42,42,43,45,44,43,43,45
1777887585.1097,44,43,48,41,42,42,43,44,44,43,43,45
1777887585.3101,44,43,48,41,42,42,43,45,44,43,43,45
1777887585.5104,44,43,48,41,42,41,43,45,44,43,43,45
1777887585.7107,44,43,48,41,42,42,42,45,45,43,43,45
1777887585.9109,44,43,48,41,42,42,43,45,44,43,43,45
1777887586.1112,44,43,48,41,42,42,43,45,44,43,43,45
1777887586.3116,44,44,48,41,42,42,43,45,44,43,43,45
1777887586.5120,44,43,48,41,42,42,42,45,44,43,43,45
1777887586.7123,44,43,48,41,42,42,42,45,44,43,43,45
1777887586.9126,44,43,48,42,42,42,43,45,44,43,43,45
1777887587.1128,44,43,48,41,42,42,43,45,44,43,43,45
1777887587.3132,44,44,48,41,42,42,43,45,44,43,43,45
1777887587.5134,44,43,48,41,42,42,43,45,44,43,43,45
