timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1775545318.7634,36,36,36,35,35,35,36,37,36,36,36,36
1775545318.9641,35,36,36,35,35,35,36,37,36,36,36,36
1775545319.1645,35,37,36,35,35,35,36,36,36,36,36,36
1775545319.3650,35,37,36,35,35,35,36,36,36,36,36,36
1775545319.5653,35,37,36,35,35,35,36,37,36,36,36,36
1775545319.7659,35,37,36,35,35,35,36,36,36,36,36,36
1775545319.9666,35,37,36,35,35,35,36,37,36,36,36,36
1775545320.1668,36,37,36,35,35,35,36,37,36,36,36,36
1775545320.3671,35,37,36,35,36,35,36,37,36,36,36,36
1775545320.5674,36,37,36,35,36,35,36,37,36,36,36,36
1775545320.7679,35,37,36,35,35,35,36,37,36,36,36,36
1775545320.9687,36,37,36,35,36,35,36,37,36,36,36,36
1775545321.1689,36,37,36,35,35,35,36,37,36,36,36,36
1775545321.3692,36,37,36,35,36,35,36,37,36,36,36,36
1775545321.5696,35,37,36,35,36,35,36,37,36,37,36,36
1775545321.7699,36,37,36,35,36,35,36,37,36,37,36,36
1775545321.9702,35,37,36,35,36,35,36,37,36,36,36,36
1775545322.1705,36,37,36,35,35,35,36,37,36,37,36,36
1775545322.3708,35,37,36,35,36,35,36,37,36,37,36,36
1775545322.5711,36,37,36,35,36,35,36,37,36,36,36,36
1775545322.7715,36,37,36,35,36,35,36,37,36,37,36,36
1775545322.9718,35,37,36,35,36,35,36,37,36,36,36,36
1775545323.1721,35,37,36,35,36,35,36,37,36,37,36,36
1775545323.3724,36,37,36,35,36,35,36,37,36,36,36,36
1775545323.5735,36,37,36,35,36,35,36,37,36,37,36,36
1775545323.7738,36,37,36,36,36,35,36,37,36,37,36,36
1775545323.9742,36,37,36,36,36,35,36,37,36,37,36,36
1775545324.1760,36,37,36,36,36,35,36,37,36,37,36,36
1775545324.3762,36,37,36,36,36,35,36,37,36,37,36,36
1775545324.5770,36,37,36,36,36,35,36,37,36,37,36,36
1775545324.7773,36,37,36,36,36,35,36,37,36,37,36,36
1775545324.9776,36,37,36,36,36,35,36,37,36,37,36,36
1775545325.1779,36,37,36,36,36,35,36,37,36,37,36,36
1775545325.3787,36,37,36,36,36,35,36,37,36,37,36,36
1775545325.5793,36,37,36,36,36,35,36,37,36,37,36,36
1775545325.7806,36,37,36,36,36,35,36,37,36,37,37,36
1775545325.9809,36,37,36,36,36,35,36,37,36,37,37,36
1775545326.1813,36,37,36,36,36,35,36,37,36,37,36,36
1775545326.3819,36,37,36,36,36,35,36,37,36,37,37,36
1775545326.5822,36,37,36,36,36,35,36,37,36,37,36,36
1775545326.7828,36,37,36,36,36,35,36,37,36,37,37,36
1775545326.9831,36,37,36,36,36,35,36,37,36,37,36,36
1775545327.1834,36,37,36,36,36,35,36,37,36,37,37,36
1775545327.3838,36,37,36,36,36,35,36,37,36,37,37,36
1775545327.5841,36,37,36,36,36,35,36,37,36,37,37,36
1775545327.7844,36,37,36,36,36,35,36,37,36,37,37,36
1775545327.9847,36,37,36,36,36,35,36,37,36,37,37,36
1775545328.1849,36,37,36,36,36,35,36,37,36,37,37,36
1775545328.3852,36,37,36,36,36,35,36,37,36,37,37,36
1775545328.5855,36,37,36,36,36,35,36,37,36,37,37,36
1775545328.7861,36,37,36,36,36,35,36,37,36,37,37,36
1775545328.9866,36,37,36,36,36,35,36,37,36,37,37,36
1775545329.1877,36,37,36,36,36,35,36,37,36,37,37,36
1775545329.3879,36,37,36,36,36,35,36,37,36,37,37,36
1775545329.5883,36,37,36,36,36,35,36,37,36,37,37,36
1775545329.7886,36,37,36,36,36,35,36,37,36,37,37,36
1775545329.9889,36,37,36,36,36,35,36,37,36,37,37,36
1775545330.1892,36,37,36,36,36,35,36,37,36,37,37,37
1775545330.3894,36,37,36,36,36,35,36,37,36,37,37,36
1775545330.5897,36,37,36,36,36,35,36,37,36,37,37,36
1775545330.7900,36,37,36,36,36,35,36,37,36,37,37,37
1775545330.9904,36,37,36,36,36,35,36,37,36,37,37,37
1775545331.1907,36,37,36,36,36,35,36,37,36,37,37,37
1775545331.3909,36,37,36,36,36,35,36,37,36,37,37,37
1775545331.5912,36,37,36,36,36,35,36,37,36,37,37,37
1775545331.7914,36,37,36,36,36,35,36,37,36,37,37,36
1775545331.9917,36,37,36,36,36,35,36,37,36,37,37,37
1775545332.1923,36,37,36,36,36,35,36,37,36,37,37,37
1775545332.3925,36,37,37,36,36,35,36,37,36,37,37,37
1775545332.5928,36,37,37,36,36,35,36,37,36,37,37,37
1775545332.7931,36,37,36,36,36,35,36,37,36,37,37,37
1775545332.9946,36,37,37,36,36,35,36,37,36,37,37,37
1775545333.1955,36,37,37,36,36,35,36,37,36,37,37,37
1775545333.3963,36,37,37,36,36,35,36,37,36,37,37,37
1775545333.5969,36,37,36,36,36,35,36,37,36,37,37,37
1775545333.7974,36,37,37,36,36,35,36,37,36,37,37,37
1775545333.9980,36,37,37,36,36,35,36,37,36,37,37,37
1775545334.1985,36,37,37,36,36,36,36,37,36,37,37,37
1775545334.3988,36,37,37,36,36,35,37,37,36,37,37,37
1775545334.5991,36,37,37,36,36,35,36,37,36,37,37,37
1775545334.8003,36,37,37,36,36,35,36,37,36,37,37,37
1775545335.0010,36,37,37,36,36,35,37,37,36,37,37,37
1775545335.2018,36,37,37,36,36,36,36,37,36,37,37,37
1775545335.4023,36,37,37,36,36,35,36,37,36,37,37,37
1775545335.6025,36,37,37,36,36,36,37,37,36,37,37,37
1775545335.8029,36,37,37,36,36,36,37,37,36,37,37,37
1775545336.0032,36,37,37,36,36,36,37,37,36,37,37,37
